         33889104 function calls (33888896 primitive calls) in 104.676 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:112(Error)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:139(NoSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:146(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:153(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:162(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:170(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:183(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:187(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:198(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:210(MissingSectionHeaderError)
        1    0.000    0.000    0.003    0.003 ConfigParser.py:223(RawConfigParser)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:224(__init__)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:277(read)
        2    0.000    0.000    0.000    0.000 ConfigParser.py:347(_get)
        2    0.000    0.000    0.000    0.000 ConfigParser.py:350(getint)
        9    0.000    0.000    0.000    0.000 ConfigParser.py:365(optionxform)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:456(_read)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:550(_Chainmap)
        4    0.000    0.000    0.000    0.000 ConfigParser.py:559(__init__)
        4    0.000    0.000    0.000    0.000 ConfigParser.py:562(__getitem__)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:580(ConfigParser)
        4    0.000    0.000    0.000    0.000 ConfigParser.py:582(get)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:617(items)
        5    0.000    0.000    0.000    0.000 ConfigParser.py:649(_interpolate)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:678(SafeConfigParser)
        1    0.000    0.000    0.005    0.005 ConfigParser.py:88(<module>)
        1    0.001    0.001    0.004    0.004 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        2    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
